Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Max Aarons,ENG,['DF'],Bournemouth,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,2023-2024
2,Joshua Acheampong,ENG,['DF'],Chelsea,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
3,Tyler Adams,USA,['MF'],Bournemouth,24,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
4,Tosin Adarabioyo,ENG,['DF'],Fulham,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,2023-2024
5,Elijah Adebayo,ENG,['FW'],Luton Town,25,1998,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,2023-2024
6,Simon Adingra,CIV,['FW'],Brighton,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7,2023-2024
7,Nayef Aguerd,MAR,['DF'],West Ham,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,2023-2024
8,Brandon Aguilera,CRC,['FW'],Nott'ham Forest,20,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
9,Naouirou Ahamada,FRA,"['MF', 'FW']",Crystal Palace,21,2002,3.9,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,2023-2024
10,Anel Ahmedhodžić,BIH,['DF'],Sheffield Utd,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,2023-2024
11,Ola Aina,NGA,['DF'],Nott'ham Forest,26,1996,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7,2023-2024
12,Rayan Aït-Nouri,ALG,"['DF', 'MF']",Wolves,22,2001,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,2023-2024
13,Kristoffer Ajer,NOR,['DF'],Brentford,25,1998,20.4,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7,2023-2024
14,Manuel Akanji,SUI,"['DF', 'MF']",Manchester City,28,1995,27.9,2,15,5,33.3,0.54,0.18,0.13,0.40,17.0,0,0,0,1.9,1.9,0.13,+0.1,+0.1,2023-2024
15,Nathan Aké,NED,['DF'],Manchester City,28,1995,22.7,2,20,5,25.0,0.88,0.22,0.10,0.40,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,2023-2024
16,Thiago Alcántara,ESP,['MF'],Liverpool,32,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
17,Trent Alexander-Arnold,ENG,['DF'],Liverpool,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7,2023-2024
18,Alisson,BRA,['GK'],Liverpool,30,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
19,Miguel Almirón,PAR,['FW'],Newcastle Utd,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5,2023-2024
20,Edson Álvarez,MEX,['MF'],West Ham,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,2023-2024
21,Julián Álvarez,ARG,"['MF', 'FW']",Manchester City,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,2023-2024
22,Zeki Amdouni,SUI,['FW'],Burnley,22,2000,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.10,-0.8,-1.0,2023-2024
23,Sofyan Amrabat,MAR,"['MF', 'DF']",Manchester Utd,26,1996,10.4,0,3,0,0.0,0.29,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2023-2024
24,Joachim Andersen,DEN,['DF'],Crystal Palace,27,1996,37.9,2,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1,0,0,1.7,1.7,0.08,+0.3,+0.3,2023-2024
25,Elliot Anderson,ENG,"['MF', 'FW']",Newcastle Utd,20,2002,11.4,0,19,4,21.1,1.67,0.35,0.00,0.00,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,2023-2024
26,Jaidon Anthony,ENG,['FW'],Bournemouth,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2023-2024
27,Michail Antonio,JAM,['FW'],West Ham,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.20,0.43,13.1,0,0,0,5.8,5.8,0.19,+0.2,+0.2,2023-2024
28,Antony,BRA,['FW'],Manchester Utd,23,2000,14.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4,2023-2024
29,Oliver Arblaster,ENG,['MF'],Sheffield Utd,19,2004,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,2023-2024
30,Cameron Archer,ENG,"['FW', 'MF']",Sheffield Utd,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.10,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,2023-2024
31,Cameron Archer,ENG,['MF'],Aston Villa,22,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
32,Alphonse Areola,FRA,['GK'],West Ham,30,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
33,Lorenz Assignon,TOG,['DF'],Burnley,23,2000,13.7,1,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.4,0.4,0.04,+0.6,+0.6,2023-2024
34,Serge Aurier,CIV,"['DF', 'MF']",Nott'ham Forest,30,1992,9.3,0,6,1,16.7,0.65,0.11,0.00,0.00,16.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2023-2024
35,Taiwo Awoniyi,NGA,['FW'],Nott'ham Forest,25,1997,11.6,6,22,11,50.0,1.90,0.95,0.27,0.55,11.5,0,0,0,4.7,4.7,0.22,+1.3,+1.3,2023-2024
36,Jordan Ayew,GHA,"['FW', 'MF']",Crystal Palace,31,1991,28.3,4,48,19,39.6,1.70,0.67,0.08,0.21,18.2,0,0,0,3.9,3.9,0.08,+0.1,+0.1,2023-2024
37,Benoît Badiashile,FRA,['DF'],Chelsea,22,2001,14.9,0,6,1,16.7,0.40,0.07,0.00,0.00,14.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,2023-2024
38,Leon Bailey,JAM,"['MF', 'FW']",Aston Villa,25,1997,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,+3.7,+3.7,2023-2024
39,Stefan Bajcetic,ESP,['MF'],Liverpool,18,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
